"STATION","NAME","DATE","PRCP","TMAX","TMIN","TOBS"
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1919-06-01","0.00","84","62",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1919-06-02","0.00","85","57",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1919-06-03","0.00","92","63",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1919-06-04","0.00","88","68",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1919-06-05","0.00","85","66",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1919-06-06","1.20","80","69",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1919-06-07","0.00","89","67",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1919-06-08","0.10","74","68",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1919-06-09","0.00","71","59",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1919-06-10","0.00","77","54",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1919-06-11","0.00","82","66",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1919-06-12","0.03","76","68",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1919-06-13","0.00","81","54",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1919-06-14","0.00","86","59",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1919-06-15","0.11","79","64",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1919-06-16","0.00","81","63",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1919-06-17","0.00","85","61",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1919-06-18","0.00","75","68",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1919-06-19","0.00","82","64",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1919-06-20","0.00","84","64",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1919-06-21","0.31","83","67",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1919-06-22","0.00","85","62",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1919-06-23","0.00","77","55",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1919-06-24","0.00","82","59",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1919-06-25","0.00","79","67",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1919-06-26","2.47","74","69",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1919-06-27","0.05","74","70",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1919-06-28","0.00","73","63",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1919-06-29","0.00","69","53",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1919-06-30","0.00","70","47",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1919-07-01","0.00","84","54",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1919-07-02","0.00","92","67",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1919-07-03","0.00","93","65",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1919-07-04","0.00","93","66",
"USW00013701","ABERDEEN PHILLIPS FIELD, MD US","1919-07-05","0.00","94","69",
